岗位名称,公司名称,工作地点,薪资范围,学历要求,工作经验,岗位描述,技能要求,岗位分类,投递链接
存储开发工程师,腾讯,广州,10-21K,本科,不限,"1.负责向量数据库系统的设计、开发与优化，实现高性能数据存储和查询；
2.研究应用向量索引算法（如LSH、IVF、HNSW等），提升检索效率与精确性；
3.解决大规模向量处理与分布式存储计算中的技术难题；
4.负责产品内核设计、性能调优等全生命周期管理；
5.跟踪业界前沿技术，持续提升产品竞争力。",分布式,后端,http://careers.tencent.com/jobdesc.html?postId=1976128427379548160
后端开发工程师,腾讯,深圳,14-28K,本科,不限,"1.负责游戏服务端逻辑层功能设计、开发以及调优工作；
2.负责游戏服务端引擎层调试、维护工作；
3.负责深入优化服务端性能。",MySQL,后端,http://careers.tencent.com/jobdesc.html?postId=1947566917279653888
研发工程师,腾讯,深圳,10-21K,本科,不限,"1.面向头部客户深入业务场景，将需求转化为WorkBuddy/CodeBuddy可落地的AI解决方案，主导落地交付（场景适配、系统集成、效果调优、上线护航）；
2.基于WorkBuddy的Skills与Connector生态，为客户定制办公提效、知识问答、内容生成等场景方案，打通飞书/企微/腾讯文档等办公链路；同时推动CodeBuddy融入客户IDE与CI/CD流程，提升研发效能；
3.基于客户私有知识库与业务数据构建RAG问答能力，运用上下文工程与Prompt工程定制WorkBuddy Skills 与Agent编排方案，通过MCP打通客户内部系统（CRM/ERP/OA等），实现多Agent协同与跨系统互通；
4.跟踪客户业务指标（交付周期缩短率、代码采纳率、办公效率提升等），持续调优方案确保价值可感知，并将一线经验沉淀为可复用的交付资产与行业方案模板，反哺产品竞争力提升。",见岗位描述,后端,http://careers.tencent.com/jobdesc.html?postId=2066401747009712128
游戏后端开发工程师,腾讯,深圳,10-21K,本科,不限,"1.负责PUBGM项目UGC平台的后台架构设计和功能开发；
2.负责海量用户全球同服的游戏后台开发运维攻坚；
3.参与AIGC、推荐算法到UGC游戏项目中的运用落地；
4.与团队成员充分沟通，紧密合作，确保项目顺利推进。",MySQL,后端,http://careers.tencent.com/jobdesc.html?postId=1991009056084615168
分布式系统开发工程师,腾讯,广州,10-21K,本科,不限,1.负责微信EB级大规模分布式文件系统研发，支撑AI训练、大数据、在线业务等高性能低时延场景。参与海量小文件IO优化、RDMA数据访问加速；参与分布式缓存、数据预热、就近访问与跨AZ低时延读写建设；参与集群弹性扩缩容、高可用与故障自愈设计，持续提升系统吞吐、时延与稳定性。,分布式,后端,http://careers.tencent.com/jobdesc.html?postId=2040982136533712896
后端安全开发工程师,腾讯,深圳,10-21K,本科,不限,"1.保障腾讯视频核心业务安全，负责风控系统的架构设计与功能研发，确保会员、付费、账号等核心业务场景的安全稳定，有效识别和打击黑产作弊、账号共享、恶意操作等风险行为；
2.用AI技术提升安全防控能力，将大模型、图数据挖掘等前沿技术落地到业务安全场景，包括：利用AI大模型自动识别恶意行为，提升风险识别效率；通过图数据挖掘和关联分析，识别黑产团伙和异常账号关系网络；建设安全智能Agent系统，通过MCP协议和Skill开发，实现安全运营的自动化和智能化（如自动化应急响应、智能威胁分析）；用数据驱动安全策略迭代，通过数据挖掘和数据分析持续优化风控效果；
3.负责安全系统的稳定性和流程优化，建立问题快速定位和系统自愈能力，确保安全事件能够快速响应和处理，保障业务连续性；
4.探索安全AI技术的业务落地，跟踪大模型在安全领域的前沿应用（如RAG知识库、模型微调、智能Prompt设计），推动安全运营从""人工分析""向""智能决策""升级。",大模型、MySQL,后端,http://careers.tencent.com/jobdesc.html?postId=2068253296522604544
大模型推理优化工程师,腾讯,北京,10-21K,本科,不限,"1.配合算法工程师，推动大模型相关算法的落地，打造高吞吐、低延迟的推理系统，在产品上实现快与准的交互体验；
2.探索面向高并发场景下（千万量级）的高性能推理服务架构，针对NVIDIA GPU、NPU等国产算力进行性能调优，包括算子融合、显存管理、计算图编译优化、Batching、KVCache管理，打造高效的推理服务架构，结合LLM能力实现业务的高效运转；
3.持续跟进业界最新Infra技术，如高效通信库、量化、稀疏蒸馏等训练部署方案，配合实际业务进行技术预研；
4.结合推理引擎和业务服务，优化动态流量调度、资源管理等结合业务实际情况的后台策略。",高并发、大模型,算法,http://careers.tencent.com/jobdesc.html?postId=2068953043801653248
AI基础设施开发工程师,腾讯,广州,10-21K,本科,不限,"1.推进微信读书或微信输入法 AI 应用的端侧落地与优化，探索端侧 AI 推理、端云协同智能等技术方案，增强产品核心竞争力。​；
2.负责微信读书或微信输入法 iOS/Android 客户端核心模块的开发与维护，开展性能调优及技术难点攻坚，保障客户端稳定高效运行。​；
3.参与产品专项技术调研与新技术探索，评估技术可行性，为客户端功能迭代与体验优化提供技术支撑。​；
4.参与客户端性能与稳定性体系建设，开发配套工具，保障软件质量，提升团队研发效率。",见岗位描述,算法,http://careers.tencent.com/jobdesc.html?postId=1927639956445069312
大模型算法工程师,腾讯,北京,21-42K,本科,不限,"1.负责微信智能体应用的后端架构设计与核心系统开发，构建支持复杂任务规划、工具调用与多轮决策的智能体引擎；
2.设计和实现高性能、高可用的智能体Agent系统、多轮对话引擎及多模态交互管道，支撑亿级用户的高并发、低延迟访问；
3.探索和落地智能体领域的先进工程实践，包括但不限于智能体原子功能组件(skill)的设计、多智能体协作、模型微调、推理优化与成本管控，持续提升产品智能化水平与用户体验。",高并发、大模型、机器学习,算法,http://careers.tencent.com/jobdesc.html?postId=2037392065205268480
腾讯云 SaaS AI产品-高级产品管理经理,腾讯,深圳,10-21K,本科,不限,"1.负责 CodeBuddy、腾讯文档、IMA 等 AI SaaS 产品经营规划、周期复盘、产品全生命周期管理；
2.搭建经营分析报表体系，数据异常归因分析，推进分析智能化自动化；
3.构建预算、过程管控、事后预警全流程精细化经营财务分析体系；
4.跟踪公私云产品成本，风险预警并输出落地方案，跨部门协同完成各类经营、产品专项工作。",见岗位描述,算法,http://careers.tencent.com/jobdesc.html?postId=2044542963568242688
